"","x"
"1","Fully.Paid"
"2","Fully.Paid"
"3","Fully.Paid"
"4","Fully.Paid"
"5","Fully.Paid"
"6","Fully.Paid"
"7","Fully.Paid"
"8","Fully.Paid"
"9","Fully.Paid"
"10","Charged.Off"
"11","Fully.Paid"
"12","Fully.Paid"
"13","Fully.Paid"
"14","Fully.Paid"
"15","Fully.Paid"
"16","Fully.Paid"
"17","Fully.Paid"
"18","Fully.Paid"
"19","Fully.Paid"
"20","Fully.Paid"
"21","Fully.Paid"
"22","Charged.Off"
"23","Fully.Paid"
"24","Fully.Paid"
"25","Fully.Paid"
"26","Fully.Paid"
"27","Fully.Paid"
"28","Fully.Paid"
"29","Fully.Paid"
"30","Fully.Paid"
"31","Fully.Paid"
"32","Fully.Paid"
"33","Fully.Paid"
"34","Fully.Paid"
"35","Fully.Paid"
"36","Fully.Paid"
"37","Fully.Paid"
"38","Fully.Paid"
"39","Fully.Paid"
"40","Fully.Paid"
"41","Charged.Off"
"42","Fully.Paid"
"43","Fully.Paid"
"44","Fully.Paid"
"45","Fully.Paid"
"46","Fully.Paid"
"47","Fully.Paid"
"48","Fully.Paid"
"49","Fully.Paid"
"50","Charged.Off"
"51","Fully.Paid"
"52","Fully.Paid"
"53","Charged.Off"
"54","Fully.Paid"
"55","Fully.Paid"
"56","Fully.Paid"
"57","Fully.Paid"
"58","Fully.Paid"
"59","Fully.Paid"
"60","Fully.Paid"
"61","Charged.Off"
"62","Fully.Paid"
"63","Fully.Paid"
"64","Fully.Paid"
"65","Charged.Off"
"66","Fully.Paid"
"67","Fully.Paid"
"68","Fully.Paid"
"69","Fully.Paid"
"70","Fully.Paid"
"71","Fully.Paid"
"72","Fully.Paid"
"73","Fully.Paid"
"74","Fully.Paid"
"75","Fully.Paid"
"76","Fully.Paid"
"77","Charged.Off"
"78","Fully.Paid"
"79","Charged.Off"
"80","Charged.Off"
"81","Fully.Paid"
"82","Fully.Paid"
"83","Fully.Paid"
"84","Fully.Paid"
"85","Charged.Off"
"86","Fully.Paid"
"87","Fully.Paid"
"88","Fully.Paid"
"89","Charged.Off"
"90","Charged.Off"
"91","Fully.Paid"
"92","Charged.Off"
"93","Fully.Paid"
"94","Fully.Paid"
"95","Charged.Off"
"96","Fully.Paid"
"97","Fully.Paid"
"98","Fully.Paid"
"99","Fully.Paid"
"100","Fully.Paid"
"101","Fully.Paid"
"102","Charged.Off"
"103","Fully.Paid"
"104","Fully.Paid"
"105","Charged.Off"
"106","Charged.Off"
"107","Fully.Paid"
"108","Fully.Paid"
"109","Fully.Paid"
"110","Fully.Paid"
"111","Fully.Paid"
"112","Fully.Paid"
"113","Fully.Paid"
"114","Fully.Paid"
"115","Fully.Paid"
"116","Fully.Paid"
"117","Fully.Paid"
"118","Charged.Off"
"119","Fully.Paid"
"120","Fully.Paid"
"121","Fully.Paid"
